Substrate,Products,Kinetic Law,Modifiers,Parameters
,tp50,Hill Promotion Induction NFkB four,RelAnp50n RelAnp52n cRelnp50n cRelnp52n,basal_p50Synth-NFkB k1_p50Synth-NFkB Kd1_p50Synth-NFkB k2_p50Synth-NFkB Kd2_p50Synth-NFkB k3_p50Synth-NFkB Kd3_p50Synth-NFkB k4_p50Synth-NFkB Kd4_p50Synth-NFkB kh_p50Synth-NFkB delay_p50Synth-NFkB scale_ind-NFkB
,tRelB,Hill Promotion Induction NFkB four,RelAnp50n RelAnp52n cRelnp50n cRelnp52n,basal_RelBSynth-NFkB k1_RelBSynth-NFkB Kd1_RelBSynth-NFkB k2_RelBSynth-NFkB Kd2_RelBSynth-NFkB k3_RelBSynth-NFkB Kd3_RelBSynth-NFkB k4_RelBSynth-NFkB Kd4_RelBSynth-NFkB kh_RelBSynth-NFkB delay_RelBSynth-NFkB scale_ind-NFkB
,tp100,Hill Promotion Induction IkB four,RelAnp50n RelAnp52n cRelnp50n cRelnp52n,kmax_p100Synth-NFkB k1_p100Synth-NFkB Kd1_p100Synth-NFkB k2_p100Synth-NFkB Kd2_p100Synth-NFkB k3_p100Synth-NFkB Kd3_p100Synth-NFkB k4_p100Synth-NFkB Kd4_p100Synth-NFkB kh_p100Synth-NFkB delay_p100Synth-NFkB scale_p100-NFkB
,tcRel,Hill Promotion Induction NFkB four,RelAnp50n RelAnp52n cRelnp50n cRelnp52n,basal_cRelSynth-NFkB k1_cRelSynth-NFkB Kd1_cRelSynth-NFkB k2_cRelSynth-NFkB Kd2_cRelSynth-NFkB k3_cRelSynth-NFkB Kd3_cRelSynth-NFkB k4_cRelSynth-NFkB Kd4_cRelSynth-NFkB kh_cRelSynth-NFkB delay_cRelSynth-NFkB scale_ind-NFkB
tRelA,,Mass Action,,k1_tRelAdeg-NFkB
tp50,,Mass Action,,k1_tp50deg-NFkB
tRelB,,Mass Action,,k1_tRelBdeg-NFkB
tp100,,Mass Action,,k1_tp100deg-NFkB
tcRel,,Mass Action,,k1_tcReldeg-NFkB
tRelA,tRelA RelA,Mass Action,,k1_monTsl-NFkB
tp50,tp50 p50,Mass Action,,k1_monTsl-NFkB
tRelB,tRelB RelB,Mass Action,,k1_monTsl-NFkB
tp100,tp100 p100,Mass Action,,k1_monTsl-NFkB
tcRel,tcRel cRel,Mass Action,,k1_monTsl-NFkB
RelA,,Mass Action,,k1_monDeg-NFkB
p50,,Mass Action,,k1_monDeg-NFkB
RelB,,Mass Action,,k1_monDeg-NFkB
p100,,Mass Action,,k1_monDeg-NFkB
p52,,Mass Action,,k1_monDeg-NFkB
cRel,,Mass Action,,k1_monDeg-NFkB
RelAn,,Mass Action,,k1_monDeg-NFkB
p50n,,Mass Action,,k1_monDeg-NFkB
RelBn,,Mass Action,,k1_monDeg-NFkB
p100n,,Mass Action,,k1_monDeg-NFkB
p52n,,Mass Action,,k1_monDeg-NFkB
cReln,,Mass Action,,k1_monDeg-NFkB
,NIK,Constant Rate,,k1_NIKSynth-NFkB
NIK,,Mass Action NIK,,k1_NIKConstDeg-NFkB nik_deg_mod-NFkB
p100 p100,IkBd,Mass Action Binding,,k1_p100Dimerization-NFkB
p100n p100n,IkBdn,Mass Action Binding,,k1_p100Dimerization-NFkB
IkBd,p100 p100,Mass Action,,k1_p100Dissociation-NFkB
IkBdn,p100n p100n,Mass Action,,k1_p100Dissociation-NFkB
p100 NIK,p100NIK,Mass Action Binding,,k1_onNIKp100-NFkB
p100NIK,p100 NIK,Mass Action,,k1_offNIKp100-NFkB
p100NIK,NIK p52,Mass Action,,k1_NIKp100Processing-NFkB
IkBd NIK,IkBdNIK,Mass Action Binding,,k1_onNIKp100-NFkB
IkBdNIK,IkBd NIK,Mass Action,,k1_offNIKp100-NFkB
IkBdNIK,NIK,Mass Action,,k1_NIKDeltaDeg-NFkB
RelAp50IkBd NIK,RelAp50IkBdNIK,Mass Action Binding,,k1_onNIKp100-NFkB
RelBp50IkBd NIK,RelBp50IkBdNIK,Mass Action Binding,,k1_onNIKp100-NFkB
RelBp52IkBd NIK,RelBp52IkBdNIK,Mass Action Binding,,k1_onNIKp100-NFkB
cRelp50IkBd NIK,cRelp50IkBdNIK,Mass Action Binding,,k1_onNIKp100-NFkB
cRelp52IkBd NIK,cRelp52IkBdNIK,Mass Action Binding,,k1_onNIKp100-NFkB
RelAp52IkBd NIK,RelAp52IkBdNIK,Mass Action Binding,,k1_onNIKp100-NFkB
RelAp50IkBdNIK,RelAp50IkBd NIK,Mass Action,,k1_offNIKp100-NFkB
RelBp50IkBdNIK,RelBp50IkBd NIK,Mass Action,,k1_offNIKp100-NFkB
RelBp52IkBdNIK,RelBp52IkBd NIK,Mass Action,,k1_offNIKp100-NFkB
cRelp50IkBdNIK,cRelp50IkBd NIK,Mass Action,,k1_offNIKp100-NFkB
cRelp52IkBdNIK,cRelp52IkBd NIK,Mass Action,,k1_offNIKp100-NFkB
